	siCTRL_SRX14464413	siFam32a_SRX14464405	siFam32a_SRX14464403	siCTRL_SRX14464417	siCTRL_SRX14464416	siFam32a_SRX14464404
ENSG00000000005	0	0	0	0	0	0
ENSG00000000460	24.2395826521597	15.7323288957914	16.6732826370057	23.575966073307	25.8400985427658	14.7421896301537
ENSG00000000971	0.00552599520335755	0.0880952149806932	0.0923344551394802	0.0111115414296029	0.0109027871105027	0.0817467561183213
ENSG00000001167	28.0038275257469	25.0987868665373	26.5030328199271	29.4006813834258	29.814537922431	23.8955937106434
ENSG00000001461	3.42251235953657	6.09211405451079	5.3574001113308	3.23916942867788	4.2516471125896	5.71341700071233
ENSG00000001561	0	0	0	0	0	0
ENSG00000001617	104.719309808451	102.174451238358	112.490371773816	99.3395716960645	92.054254887524	107.429955635099
ENSG00000001626	0.0183275894076604	0.017186927363884	0.0180139815086875	0.00614211442203917	0.0301336076439553	0.0112967659098042
ENSG00000001629	57.9642487434547	64.9571263064231	72.1111211276388	52.9909861916269	59.0540898313357	60.7200403220665
ENSG00000002079	0.0212659914791308	0.0199424508451738	0.0209021038581783	0	0.0419577957016417	0
ENSG00000002549	32.7758956389687	30.6744129557832	30.8915948550745	32.5562783066826	34.4069024674646	31.2145575340682
ENSG00000002586	0	0	0	0.0256848609476587	0	0
ENSG00000002726	0.0327808574411535	0	0	0	0	0.0909246432082695
ENSG00000002745	0	0.0356569065969469	0.037372756775836	0	0	0.0351553001620209
ENSG00000002746	1.31812215918814	0.551227373286019	0.551491547996318	1.02078107004986	1.2651833578374	0.576410691138754
ENSG00000002834	285.057192392389	447.339703245188	440.499266762519	282.458070934411	284.832798718786	453.771092073119
ENSG00000002919	12.2817095197998	17.374550281324	13.3111758602623	10.7176032764875	12.1159048569254	16.4082791530951
ENSG00000002933	0.0128596338485346	0	0	0	0	0
ENSG00000003400	3.88186356837957	5.12768702365995	4.47185983677572	3.74890701812091	4.2412275771226	4.5924487895958
ENSG00000003402	7.84202409587594	10.3666588769353	9.08996795129527	8.10666965476699	7.41403241640127	9.67545468963282
ENSG00000003509	22.5327821879458	20.4387726771509	19.472554150127	23.3701286471568	26.9703507062899	20.3393582511154
ENSG00000003756	12.8159830594218	13.9955615159257	11.5401894020777	12.7534175718709	12.1875469802521	14.0789833666849
ENSG00000003989	36.7379485739361	35.8501440262465	36.0784538185928	37.4094394846844	43.0257370458989	29.510492997941
ENSG00000004059	96.7123398029185	111.452611643772	90.6270348717356	88.6229281240344	79.3985417703092	124.054456970764
ENSG00000004139	5.16875203871609	5.66261299618528	4.87321849364852	5.30927831612169	5.19626498943232	6.02644002910341
ENSG00000004468	0	0.0169730411451706	0.0355796056923811	0.0181970328837284	0.0357103245901678	0.0502028145233351
ENSG00000004478	336.133133980993	306.506440414013	299.198724768219	325.712130344418	326.711870022566	322.2717837979
ENSG00000004487	19.6642980362714	27.2954027580681	26.7815396466042	19.2597960205598	20.3219965851606	27.6845937239327
ENSG00000004534	28.6451888224551	23.4789556306686	28.07827539325	29.1135991710077	28.3201075210022	25.2281442016457
ENSG00000004766	12.4322675713092	15.1229624165787	15.4417259913589	13.3232433467841	14.2297244690495	12.893434024189
ENSG00000004777	8.23456385342211	4.11548490924579	4.31352664061542	7.82821824707785	5.91215653151657	4.47207498943183
ENSG00000004846	0	0	0	0	0	0.0130453501283352
ENSG00000004866	28.9636808018038	34.4016261266421	38.487044474643	31.9303832344196	31.199176522654	32.9330283775835
ENSG00000004961	155.307559807986	181.058558138166	196.591610997549	149.061449210392	160.683315049712	167.00253012178
ENSG00000005007	91.2934153207899	101.580479646546	92.7970896254784	87.259801587771	88.0595881606077	112.519487494623
ENSG00000005022	852.077486355038	1042.44266594762	903.941765874247	748.341356987284	831.441076124786	1020.84155038503
ENSG00000005059	3.12831605370498	2.59612186331552	2.74826064906294	3.03383871040065	3.19532527310164	2.20125660867274
ENSG00000005156	25.0546418884932	26.9112681097037	25.4103117606976	24.6267096746038	27.2051832124517	26.16376882948
